Trait	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
"BMI,FVC"	Adrenal Gland	0.002092246	0.001482129	0.07902669	0.7943303	0.05090622	0.036061532	-0.0411
"BMI,FVC"	Aorta Artery	-0.001329159	0.007082886	0.42557245	0.9568132	-0.032339632	0.172332985	-0.0411
"BMI,FVC"	Coronary Artery	0.00142051	0.003269417	0.33196839	0.9247691	0.034562293	0.079547849	-0.0411
"BMI,FVC"	Tibial Artery	2.52E-05	0.003428768	0.49706732	0.9941346	0.000613274	0.083425	-0.0411
"BMI,FVC"	Brain Limbic	0.003341363	0.002490844	0.08988589	0.7943303	0.081298378	0.060604488	-0.0411
"BMI,FVC"	Brain Cortex	0.002535464	0.001556017	0.05160807	0.7943303	0.06169013	0.037859298	-0.0411
"BMI,FVC"	Brain Basal Ganglia	-0.002719131	0.00203099	0.0903146	0.7943303	-0.066158896	0.049415817	-0.0411
"BMI,FVC"	Brain Cereb.	0.00190629	0.00215622	0.1883242	0.8721595	0.04638175	0.052462785	-0.0411
"BMI,FVC"	Brain Spinal Cord	-0.000967242	0.001677467	0.28210189	0.9187222	-0.023533875	0.040814287	-0.0411
"BMI,FVC"	Brain Subst. Nigra	-0.001862688	0.001532004	0.11202094	0.7943303	-0.045320882	0.037275045	-0.0411
"BMI,FVC"	Breast	0.001756719	0.002311507	0.22363064	0.8721595	0.042742567	0.056241048	-0.0411
"BMI,FVC"	LCLs	0.002017878	0.001474181	0.08552888	0.7943303	0.049096784	0.035868147	-0.0411
"BMI,FVC"	Fibroblasts	0.002491954	0.002307082	0.14004163	0.8721595	0.060631491	0.056133392	-0.0411
"BMI,FVC"	Sigmoid Intestine	0.004621766	0.002866718	0.05345757	0.7943303	0.112451732	0.069749834	-0.0411
"BMI,FVC"	Transverse Intestine	0.000436429	0.002486619	0.43033914	0.9568132	0.0106187	0.060501686	-0.0411
"BMI,FVC"	Esophagus Mucosa	0.001688947	0.002607135	0.25855158	0.9166829	0.041093599	0.063433938	-0.0411
"BMI,FVC"	Esophagus Muscularis	-0.005818544	0.004626999	0.10428271	0.7943303	-0.141570414	0.112579062	-0.0411
"BMI,FVC"	Heart A. Appen.	-0.000708268	0.002494905	0.38824892	0.9568132	-0.017232804	0.06070328	-0.0411
"BMI,FVC"	Heart Left Vent.	-0.002263205	0.002757785	0.20591991	0.8721595	-0.055065804	0.067099393	-0.0411
"BMI,FVC"	Liver	-0.000404304	0.002534007	0.43661734	0.9568132	-0.009837072	0.061654674	-0.0411
"BMI,FVC"	Lung	0.000694699	0.002182298	0.37511593	0.9568132	0.016902652	0.053097284	-0.0411
"BMI,FVC"	Min. Salivary Gland	0.000638549	0.001349299	0.31801921	0.9187222	0.015536477	0.03282967	-0.0411
"BMI,FVC"	Muscle Skeletal	0.000880151	0.002566898	0.36584245	0.9568132	0.021414871	0.062454948	-0.0411
"BMI,FVC"	Tibial Nerve	-0.007303826	0.00351331	0.01881319	0.7943303	-0.177708655	0.085481988	-0.0411
"BMI,FVC"	Ovary	-0.001030137	0.001936246	0.29735327	0.9187222	-0.025064161	0.047110598	-0.0411
"BMI,FVC"	Pancreas	-0.000397914	0.00206288	0.42352158	0.9568132	-0.009681607	0.050191723	-0.0411
"BMI,FVC"	Pituitary	-0.001168004	0.002038216	0.28330475	0.9187222	-0.028418578	0.049591624	-0.0411
"BMI,FVC"	Prostate	0.001994194	0.002177918	0.17992718	0.8721595	0.04852054	0.052990695	-0.0411
"BMI,FVC"	Skin (sun unexposed)	0.005150237	0.00624047	0.20460172	0.8721595	0.125309891	0.15183626	-0.0411
"BMI,FVC"	Skin (sun exposed)	-0.01461222	0.011263889	0.09727043	0.7943303	-0.355528486	0.27406055	-0.0411
"BMI,FVC"	Spleen	0.000249715	0.001699916	0.44160611	0.9568132	0.006075787	0.041360475	-0.0411
"BMI,FVC"	Stomach	-0.001813471	0.002612686	0.24380913	0.9055768	-0.044123371	0.063569003	-0.0411
"BMI,FVC"	Testis	2.44E-05	0.002192068	0.49556062	0.9941346	0.000593517	0.053334989	-0.0411
"BMI,FVC"	Thyroid	0.001748429	0.002281894	0.22177325	0.8721595	0.042540841	0.055520533	-0.0411
"BMI,FVC"	Uterus	-0.001401611	0.002957634	0.31778697	0.9187222	-0.034102467	0.071961892	-0.0411
"BMI,FVC"	Vagina	0.001832404	0.001963261	0.17532037	0.8721595	0.04458404	0.047767904	-0.0411
"BMI,FVC"	Whole Blood	0.000105211	0.001989796	0.47891561	0.9941346	0.002559882	0.048413516	-0.0411
"BMI,FVC"	AllTissues	-0.005286151	0.003277167	0.05336955	1	-0.128616823	0.079736414	-0.0411
"Intelligence,BMI"	Adipose Sub.	0.000742536	0.002409468	0.37897497	0.9504926	0.021711563	0.070452287	-0.0342
"Intelligence,BMI"	Adipose Visc.	-0.00318635	0.00249732	0.10099409	0.7161399	-0.093168129	0.073021064	-0.0342
"Intelligence,BMI"	Adrenal Gland	0.000956008	0.001531561	0.26624662	0.9399751	0.027953441	0.044782498	-0.0342
"Intelligence,BMI"	Aorta Artery	-0.002065214	0.003809317	0.29385823	0.9504926	-0.060386383	0.11138355	-0.0342
"Intelligence,BMI"	Coronary Artery	0.003758694	0.002489472	0.06554265	0.6881772	0.109903321	0.072791566	-0.0342
