Trait	Tissue	TCSC_h2ge(t')	TCSC_JKSE	TCSC_JKP	TCSC_FDR	pi_(t')	pi_(t')_SE
Yrs Edu	Liver	-0.000685713	0.001095939	0.734239251	0.99997056	-0.005042006	0.008058376
Yrs Edu	Lung	-0.005842401	0.001454328	0.99997056	0.99997056	-0.042958831	0.010693585
Yrs Edu	Min. Salivary Gland	-0.001970231	0.000954946	0.980452475	0.99997056	-0.014486994	0.007021665
Yrs Edu	Muscle Skeletal	0.002442832	0.002308668	0.14500192	0.525218019	0.017961999	0.016975498
Yrs Edu	Tibial Nerve	-0.003403068	0.001967403	0.958160388	0.99997056	-0.02502256	0.014466198
Yrs Edu	Ovary	0.001309265	0.001556436	0.200119486	0.525218019	0.009626952	0.011444383
Yrs Edu	Pancreas	-0.001106741	0.001479849	0.772732051	0.99997056	-0.008137801	0.01088124
Yrs Edu	Pituitary	-0.002885369	0.001394995	0.980697514	0.99997056	-0.021215948	0.010257313
Yrs Edu	Prostate	-0.001288024	0.001546071	0.797604304	0.99997056	-0.009470762	0.011368172
Yrs Edu	Skin (sun unexposed)	-0.002249133	0.002708376	0.796853796	0.99997056	-0.016537741	0.019914532
Yrs Edu	Skin (sun exposed)	-1.44E-05	0.003131751	0.501840545	0.978589062	-0.00010624	0.023027581
Yrs Edu	Spleen	-0.001722552	0.001695882	0.845120155	0.99997056	-0.012665822	0.012469718
Yrs Edu	Stomach	0.001646811	0.002133389	2.20E-01	0.525218019	0.012108902	0.015686686
Yrs Edu	Testis	-0.003043503	0.001522155	9.77E-01	0.99997056	-0.022378695	0.011192319
Yrs Edu	Thyroid	0.003425656	0.002393997	0.076224316	0.525218019	0.025188647	0.017602919
Yrs Edu	Uterus	6.95E-05	0.00181149	0.48468924	0.978589062	0.000511317	0.013319779
Yrs Edu	Vagina	-0.002683592	0.000939892	0.997849598	0.99997056	-0.019732297	0.006910973
Yrs Edu	Whole Blood	0.001864433	0.001491201	0.105596832	0.525218019	0.013709066	0.01096471
Yrs Edu	AllTissues	0.011860131	0.00276021	8.66E-06	NA	0.087206847	0.020295659
FVC	Adipose Sub.	-0.003835765	0.003986833	0.832002371	0.991702921	-0.016420225	0.017066922
