Trait_Nickname	Trait_Fullname	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Ovary	-0.0004329247	0.0016560822	0.39688624	0.9272314	0.00883519795918367	0.033797595565298	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Pancreas	-0.0008749143	0.0013845822	0.26372685	0.8873568	0.017855393877551	0.0282567787257461	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Pituitary	8.17036e-05	0.0014095331	0.47688825	0.9620376	-0.00166742040816327	0.0287659821863084	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Prostate	0.000388346	0.0014357773	0.39339633	0.9272314	-0.00792542857142857	0.0293015783183569	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Skin (sun unexposed)	0.007157206	0.0039595897	0.0353373	0.8168151	-0.146065428571429	0.0808079525502394	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Skin (sun exposed)	-0.009957878	0.006854434	0.07314457	0.8168151	0.203222	0.139886407985602	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Spleen	0.001129555	0.0016222198	0.24311984	0.8873568	-0.0230521428571429	0.0331065264735063	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Stomach	0.001049396	0.0019765949	0.29774022	0.8932207	-0.0214162448979592	0.0403386713444253	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Testis	-0.0004159671	0.0017149891	0.4041778	0.9272314	0.00848912448979592	0.0349997767277637	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Thyroid	0.001060593	0.0018023139	0.27811124	0.8873568	-0.0216447551020408	0.0367819172789829	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Uterus	-0.00152172	0.0013265451	0.12566385	0.8168151	0.0310555102040816	0.0270723481195792	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Vagina	0.0004754311	0.0011088353	0.33404668	0.9272314	-0.00970267551020408	0.0226292913177471	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Whole Blood	-0.0007840162	0.0013759679	0.28440922	0.8873568	0.0160003306122449	0.0280809776724414	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	AllTissues	-0.005197514	0.0027681981	0.03021932	1	0.106071714285714	0.0564938396555769	-0.049
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Adipose Sub.	0.003194691	0.002520799	0.10251819	0.7943303	-0.0777297080291971	0.0613333168230737	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Adipose Visc.	-0.002333874	0.002578762	0.182723	0.8721595	0.0567852554744526	0.0627435912412786	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Adrenal Gland	0.002092246	0.001482129	0.07902669	0.7943303	-0.0509062287104623	0.0360615321229847	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Aorta Artery	-0.001329159	0.007082886	0.42557245	0.9568132	0.0323396350364964	0.172332985485963	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Coronary Artery	0.00142051	0.003269417	0.33196839	0.9247691	-0.0345622871046229	0.079547848703128	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Tibial Artery	2.520558e-05	0.003428768	0.49706732	0.9941346	-0.000613274452554745	0.0834250001742869	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Brain Limbic	0.003341363	0.002490844	0.08988589	0.7943303	-0.0812983698296837	0.0606044876164633	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Brain Cortex	0.002535464	0.001556017	0.05160807	0.7943303	-0.0616901216545012	0.0378592984394307	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Brain Basal Ganglia	-0.002719131	0.00203099	0.0903146	0.7943303	0.0661589051094891	0.0494158166933655	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Brain Cereb.	0.00190629	0.00215622	0.1883242	0.8721595	-0.0463817518248175	0.0524627849775017	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Brain Spinal Cord	-0.0009672423	0.001677467	0.28210189	0.9187222	0.0235338759124088	0.0408142865390499	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Brain Subst. Nigra	-0.001862688	0.001532004	0.11202094	0.7943303	0.0453208759124088	0.0372750452958681	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Breast	0.001756719	0.002311507	0.22363064	0.8721595	-0.0427425547445255	0.0562410480446781	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	LCLs	0.002017878	0.001474181	0.08552888	0.7943303	-0.0490967883211679	0.0358681468280981	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Fibroblasts	0.002491954	0.002307082	0.14004163	0.8721595	-0.0606314841849148	0.0561333917744	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Sigmoid Intestine	0.004621766	0.002866718	0.05345757	0.7943303	-0.112451727493917	0.0697498337136309	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Transverse Intestine	0.0004364286	0.002486619	0.43033914	0.9568132	-0.010618700729927	0.0605016857623027	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Esophagus Mucosa	0.001688947	0.002607135	0.25855158	0.9166829	-0.041093600973236	0.0634339378927214	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Esophagus Muscularis	-0.005818544	0.004626999	0.10428271	0.7943303	0.141570413625304	0.112579061767509	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Heart A. Appen.	-0.0007082683	0.002494905	0.38824892	0.9568132	0.0172328053527981	0.0607032796654526	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Heart Left Vent.	-0.002263205	0.002757785	0.20591991	0.8721595	0.0550658150851581	0.0670993926148109	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Liver	-0.0004043037	0.002534007	0.43661734	0.9568132	0.00983707299270073	0.0616546742311241	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Lung	0.000694699	0.002182298	0.37511593	0.9568132	-0.0169026520681265	0.053097283664417	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Min. Salivary Gland	0.0006385492	0.001349299	0.31801921	0.9187222	-0.0155364768856448	0.0328296704989978	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Muscle Skeletal	0.0008801512	0.002566898	0.36584245	0.9568132	-0.0214148710462287	0.0624549483197976	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Tibial Nerve	-0.007303826	0.00351331	0.01881319	0.7943303	0.177708661800487	0.0854819878709681	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Ovary	-0.001030137	0.001936246	0.29735327	0.9187222	0.0250641605839416	0.047110597541073	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Pancreas	-0.0003979141	0.00206288	0.42352158	0.9568132	0.00968160827250608	0.0501917233365869	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Pituitary	-0.001168004	0.002038216	0.28330475	0.9187222	0.0284185888077859	0.0495916242675251	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Prostate	0.001994194	0.002177918	0.17992718	0.8721595	-0.0485205352798054	0.052990694689565	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Skin (sun unexposed)	0.005150237	0.00624047	0.20460172	0.8721595	-0.125309902676399	0.151836259881012	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Skin (sun exposed)	-0.01461222	0.011263889	0.09727043	0.7943303	0.355528467153285	0.274060549561762	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Spleen	0.0002497149	0.001699916	0.44160611	0.9568132	-0.00607578832116788	0.0413604748322071	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Stomach	-0.001813471	0.002612686	0.24380913	0.9055768	0.0441233819951338	0.0635690031356847	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Testis	2.439354e-05	0.002192068	0.49556062	0.9941346	-0.000593516788321168	0.053334989179544	-0.0411
