Trait	Trait_Nickname	Tissue	TCSC_h2	TCSC_JKSE	TCSC_JKP	TCSC_FDRP	prop_h2g	prop_h2g_se
UKB_460K.cov_EDU_YEARS	Yrs Edu	Adipose_Visceral_Omentum	-8.925145e-04	0.0020411670	6.690375e-01	0.9999706	-0.00656260691332123	0.0150085807301921
UKB_460K.cov_EDU_YEARS	Yrs Edu	Adrenal_Gland	 3.291608e-03	0.0029000194	1.281814e-01	0.5252180	0.0242030036446724	0.0213236721020973
UKB_460K.cov_EDU_YEARS	Yrs Edu	Artery_Aorta	-6.470533e-04	0.0021958554	6.158771e-01	0.9999706	-0.00475774509232861	0.0161459957239816
UKB_460K.cov_EDU_YEARS	Yrs Edu	Artery_Coronary	 1.311280e-03	0.0013634998	1.680998e-01	0.5252180	0.00964176153015463	0.0100257335952656
UKB_460K.cov_EDU_YEARS	Yrs Edu	Artery_Tibial	-1.325094e-03	0.0020426000	7.417433e-01	0.9999706	-0.00974334098383853	0.0150191177390732
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Limbic	 1.401306e-03	0.0015345914	1.805828e-01	0.5252180	0.0103037223393257	0.0112837605430457
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Cortex	 1.271371e-03	0.0017126573	2.289412e-01	0.5252180	0.00934831746022419	0.0125930685768315
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_BasalGanglia	-7.820789e-04	0.0016007427	6.874278e-01	0.9999706	-0.00575057992898511	0.0117701665714289
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Cerebellum	 6.340281e-03	0.0036777541	4.235802e-02	0.5252180	0.0466197144871571	0.0270423099015735
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Spinal_cord_cervical_c-1	 1.672010e-03	0.0013056020	1.001595e-01	0.5252180	0.0122941926247282	0.00960001455875184
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Substantia_nigra	 8.988452e-04	0.0019150379	3.194056e-01	0.6920455	0.00660915583969635	0.0140811608690335
UKB_460K.cov_EDU_YEARS	Yrs Edu	Breast_Mammary_Tissue	 4.274342e-03	0.0028873741	6.938912e-02	0.5252180	0.0314289847776389	0.0212306921793109
UKB_460K.cov_EDU_YEARS	Yrs Edu	Cells_EBV-transformed_lymphocytes	-1.244446e-03	0.0009173805	9.125334e-01	0.9999706	-0.00915034176045235	0.00674544502473994
UKB_460K.cov_EDU_YEARS	Yrs Edu	Cells_Cultured_fibroblasts	 4.003324e-03	0.0035655188	1.307637e-01	0.5252180	0.0294362029646865	0.0262170499879789
UKB_460K.cov_EDU_YEARS	Yrs Edu	Colon_Sigmoid	-6.109693e-04	0.0017542076	6.361880e-01	0.9999706	-0.00449242119311293	0.0128985852030993
UKB_460K.cov_EDU_YEARS	Yrs Edu	Colon_Transverse	 2.436950e-03	0.0023099686	1.457193e-01	0.5252180	0.0179187464237726	0.0169850635908746
UKB_460K.cov_EDU_YEARS	Yrs Edu	Esophagus_Mucosa	 3.632154e-03	0.0022815463	5.569567e-02	0.5252180	0.0267070176975504	0.0167760760049172
UKB_460K.cov_EDU_YEARS	Yrs Edu	Esophagus_Muscularis	-1.500133e-04	0.0021542218	5.277587e-01	0.9801232	-0.00110303921289921	0.0158398661395704
UKB_460K.cov_EDU_YEARS	Yrs Edu	Heart_Atrial_Appendage	-5.544004e-04	0.0024055361	5.911361e-01	0.9999706	-0.00407647335009227	0.0176877654628874
UKB_460K.cov_EDU_YEARS	Yrs Edu	Heart_Left_Ventricle	 2.074197e-03	0.0023012092	1.837008e-01	0.5252180	0.0152514508621651	0.016920655732238
UKB_460K.cov_EDU_YEARS	Yrs Edu	Liver	-6.857128e-04	0.0010959391	7.342393e-01	0.9999706	-0.00504200595612958	0.00805837606363934
UKB_460K.cov_EDU_YEARS	Yrs Edu	Lung	-5.842401e-03	0.0014543275	9.999706e-01	0.9999706	-0.042958830832945	0.010693584793999
UKB_460K.cov_EDU_YEARS	Yrs Edu	Minor_Salivary_Gland	-1.970231e-03	0.0009549464	9.804525e-01	0.9999706	-0.0144869943414821	0.00702166502629755
UKB_460K.cov_EDU_YEARS	Yrs Edu	Muscle_Skeletal	 2.442832e-03	0.0023086678	1.450019e-01	0.5252180	0.0179619988182031	0.0169754983738085
UKB_460K.cov_EDU_YEARS	Yrs Edu	Nerve_Tibial	-3.403068e-03	0.0019674029	9.581604e-01	0.9999706	-0.025022560319546	0.0144661980681216
UKB_460K.cov_EDU_YEARS	Yrs Edu	Ovary	 1.309265e-03	0.0015564361	2.001195e-01	0.5252180	0.00962695218111301	0.0114443829583452
UKB_460K.cov_EDU_YEARS	Yrs Edu	Pancreas	-1.106741e-03	0.0014798486	7.727321e-01	0.9999706	-0.0081378011323264	0.0108812398480598
UKB_460K.cov_EDU_YEARS	Yrs Edu	Pituitary	-2.885369e-03	0.0013949946	9.806975e-01	0.9999706	-0.0212159484317657	0.0102573131040951
UKB_460K.cov_EDU_YEARS	Yrs Edu	Prostate	-1.288024e-03	0.0015460713	7.976043e-01	0.9999706	-0.00947076210941721	0.0113681716010016
UKB_460K.cov_EDU_YEARS	Yrs Edu	Skin_Not_Sun_Exposed_Suprapubic	-2.249133e-03	0.0027083764	7.968538e-01	0.9999706	-0.0165377411730574	0.0199145319948702
UKB_460K.cov_EDU_YEARS	Yrs Edu	Skin_Sun_Exposed_Lower_leg	-1.444858e-05	0.0031317511	5.018405e-01	0.9785891	-0.000106239540368958	0.0230275814198048
UKB_460K.cov_EDU_YEARS	Yrs Edu	Spleen	-1.722552e-03	0.0016958817	8.451202e-01	0.9999706	-0.0126658223291511	0.012469718460435
UKB_460K.cov_EDU_YEARS	Yrs Edu	Stomach	 1.646811e-03	0.0021333893	2.200802e-01	0.5252180	0.0121089018422146	0.0156866858407576
UKB_460K.cov_EDU_YEARS	Yrs Edu	Testis	-3.043503e-03	0.0015221554	9.772212e-01	0.9999706	-0.0223786951252715	0.0111923193246561
UKB_460K.cov_EDU_YEARS	Yrs Edu	Thyroid	 3.425656e-03	0.0023939970	7.622432e-02	0.5252180	0.0251886465169579	0.0176029193531452
UKB_460K.cov_EDU_YEARS	Yrs Edu	Uterus	 6.953913e-05	0.0018114899	4.846892e-01	0.9785891	0.000511317129353619	0.0133197786686632
UKB_460K.cov_EDU_YEARS	Yrs Edu	Vagina	-2.683592e-03	0.0009398924	9.978496e-01	0.9999706	-0.0197322971896101	0.00691097337375716
UKB_460K.cov_EDU_YEARS	Yrs Edu	Whole_Blood	 1.864433e-03	0.0014912005	1.055968e-01	0.5252180	0.0137090657204201	0.0109647095911518
UKB_460K.cov_EDU_YEARS	Yrs Edu	AllTissues	 1.186013e-02	0.0027602096	8.663184e-06	NA	0.0872068467158228	0.0202956587023304
UKB_460K.lung_FVCzSMOKE	FVC	Adipose_Subcutaneous	-0.0038357646	0.003986833	8.320024e-01	0.9917029	-0.0164202252792236	0.0170669217844534
UKB_460K.lung_FVCzSMOKE	FVC	Adipose_Visceral_Omentum	-0.0052171266	0.004001684	9.038377e-01	0.9917029	-0.0223335899695693	0.0171304951254689
UKB_460K.lung_FVCzSMOKE	FVC	Adrenal_Gland	 0.0034343945	0.003461993	1.605919e-01	0.6110185	0.0147020311656174	0.0148201741181583
UKB_460K.lung_FVCzSMOKE	FVC	Artery_Aorta	 0.0166584380	0.011191252	6.830649e-02	0.4074217	0.0713118064175599	0.0479077571049653
UKB_460K.lung_FVCzSMOKE	FVC	Artery_Coronary	 0.0125241827	0.005808673	1.553724e-02	0.4074217	0.0536137959452402	0.0248658950530044
UKB_460K.lung_FVCzSMOKE	FVC	Artery_Tibial	 0.0015107032	0.005113591	3.838331e-01	0.7878679	0.00646705147748365	0.0218903711266423
UKB_460K.lung_FVCzSMOKE	FVC	Brain_Limbic	 0.0029799627	0.003967083	2.262745e-01	0.7353922	0.0127566898146229	0.0169823778511732
UKB_460K.lung_FVCzSMOKE	FVC	Brain_Cortex	-0.0007570845	0.002363427	6.256422e-01	0.9852817	-0.00324094409961851	0.0101174093566191
UKB_460K.lung_FVCzSMOKE	FVC	Brain_BasalGanglia	 0.0030987210	0.003089480	1.579326e-01	0.6110185	0.013265072980578	0.0132255128751362
UKB_460K.lung_FVCzSMOKE	FVC	Brain_Cerebellum	-0.0025677484	0.002874751	8.141269e-01	0.9917029	-0.0109920737623427	0.0123062989227844
UKB_460K.lung_FVCzSMOKE	FVC	Brain_Spinal_cord_cervical_c-1	-0.0006537193	0.002500253	6.031316e-01	0.9852817	-0.00279845586076351	0.0107031391381963
UKB_460K.lung_FVCzSMOKE	FVC	Brain_Substantia_nigra	-0.0007170314	0.002068612	6.355632e-01	0.9852817	-0.00306948362942906	0.00885535936979773
UKB_460K.lung_FVCzSMOKE	FVC	Breast_Mammary_Tissue	 0.0018233386	0.003974085	3.231863e-01	0.7406469	0.00780538801849152	0.017012348707201
UKB_460K.lung_FVCzSMOKE	FVC	Cells_EBV-transformed_lymphocytes	 0.0009306987	0.002284177	3.418370e-01	0.7406469	0.00398415526700412	0.00977815551487329
UKB_460K.lung_FVCzSMOKE	FVC	Cells_Cultured_fibroblasts	 0.0092468672	0.004944418	3.073060e-02	0.4074217	0.0395841916907748	0.0211661731948626
